director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,Avatar
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Pirates of the Caribbean: At World's End
Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Spectre
Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,The Dark Knight Rises
Doug Walker,Documentary,Doug Walker,Rob Walker,Not Available,Star Wars: Episode VII - The Force Awakens
Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,John Carter
Sam Raimi,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,Spider-Man 3
Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,Tangled
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Avengers: Age of Ultron
David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,Harry Potter and the Half-Blood Prince
Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,Batman v Superman: Dawn of Justice
Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,Superman Returns
Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Quantum of Solace
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Pirates of the Caribbean: Dead Man's Chest
Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,The Lone Ranger
Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,Man of Steel
Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,The Chronicles of Narnia: Prince Caspian
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,The Avengers
Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,Pirates of the Caribbean: On Stranger Tides
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Men in Black 3
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,The Hobbit: The Battle of the Five Armies
Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,The Amazing Spider-Man
Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,Robin Hood
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,The Hobbit: The Desolation of Smaug
Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,The Golden Compass
Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,King Kong
James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Titanic
Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Captain America: Civil War
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Battleship
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,Jurassic World
Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,Skyfall
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Spider-Man 2
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,Iron Man 3
Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,Alice in Wonderland
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,X-Men: The Last Stand
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,Monsters University
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Transformers: Revenge of the Fallen
Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,Transformers: Age of Extinction
Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,Oz the Great and Powerful
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,The Amazing Spider-Man 2
Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,TRON: Legacy
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Cars 2
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,Green Lantern
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,Toy Story 3
McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,Terminator Salvation
James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,Furious 7
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,World War Z
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,X-Men: Days of Future Past
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Star Trek Into Darkness
Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,Jack the Giant Slayer
Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,The Great Gatsby
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Prince of Persia: The Sands of Time
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Pacific Rim
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,Transformers: Dark of the Moon
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,Indiana Jones and the Kingdom of the Crystal Skull
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,The Good Dinosaur
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,Brave
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Star Trek Beyond
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,WALL·E
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,Rush Hour 3
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,2012
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,A Christmas Carol
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,Jupiter Ascending
