director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres
Joachim Rønning,Johnny Depp,Javier Bardem,Geoffrey Rush,Pirates of the Caribbean: Dead Men Tell No Tales,Adventure Action Fantasy Comedy
Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Justice League,Action Adventure Fantasy Science Fiction
Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Thor: Ragnarok,Action Adventure Fantasy Science Fiction
James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Guardians of the Galaxy Vol. 2,Action Adventure Comedy Science Fiction
Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,The King's Daughter,Fantasy Action Adventure
Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Extinction: Nature Has Evolved,Thriller Adventure
Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,For Here or to Go?,Drama Comedy
Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Guardians,Action Fantasy Science Fiction
Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,The Outcasts,Comedy
Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Wonder Woman,Action Adventure Fantasy
Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,Sly Cooper,Animation Adventure Comedy Action Family
James Ponsoldt,Emma Watson,Tom Hanks,John Boyega,The Circle,Drama Thriller Science Fiction
Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Pitch Perfect 3,Comedy
Not Available,Donnie Yen,Not Available,Not Available,The Master,
Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,The Devil's Candy,Horror
Roberto Doveris,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Las Plantas,Drama
Lloyd Kaufman,Asta Paredes,Catherine Corcoran,Zac Amino,"Return to Return to Nuke 'Em High, aka Volume 2",Comedy Horror
David Jackson,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,The Cheerleader Murders,TV Movie Thriller
Demetri Martin,Demetri Martin,Gillian Jacobs,Christine Woods,Dean,Comedy
Alexandre Bustillo,Stephen Dorff,Lili Taylor,Sam Strike,Leatherface,Horror
Johannes Roberts,Claire Holt,Mandy Moore,Chris Johnson,47 Meters Down,Drama Thriller Horror Adventure
Gabe Klinger,Lucie Lucas,Anton Yelchin,Paulo Calatré,Porto,Romance Drama
Aaron Leong,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Mamaboy,Comedy Drama Family Fantasy Romance Science Fiction
Olivia Neergaard-Holm,David Lynch,Not Available,Not Available,David Lynch: The Art Life,Documentary
Terry George,Oscar Isaac,Charlotte Le Bon,Christian Bale,The Promise,History Romance Drama
Benny Boom,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,All Eyez on Me,Drama Music
Nacho Vigalondo,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,Colossal,Action Comedy Drama Fantasy Science Fiction
Terrence Malick,Cate Blanchett,Konstantin Khabenskiy,Not Available,Voyage of Time: Life's Journey,Documentary Drama
Derrick Borte,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,London Town,Drama Music
Martin Koolhoven,Guy Pearce,Dakota Fanning,Carice van Houten,Brimstone,Mystery Thriller Western
Alex Helfrecht,Agyness Deyn,Jonathan Pryce,Fiona Shaw,The White King,Drama Science Fiction
Laura Poitras,Julian Assange,Sarah Harrison,Jacob Appelbaum,Risk,Documentary
Sara Jordenö,Not Available,Not Available,Not Available,Kiki,Documentary
Eddie O'Keefe,Emily Browning,Luke Grimes,Ron Livingston,Shangri-La Suite,Romance Drama Crime
Ralitza Petrova,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,Godless,Drama
