,title,genre
0,Mary Poppins Returns,"Adventure, Comedy, Family"
1,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure"
2,Venom,"Action, Adventure, Sci-Fi"
3,Avengers: Infinity War,"Action, Adventure, Sci-Fi"
4,Ready Player One,"Action, Adventure, Sci-Fi"
5,The Grinch,"Animation, Adventure, Comedy"
6,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy"
7,The Christmas Chronicles,"Adventure, Comedy, Family"
8,A Star Is Born,"Drama, Music, Romance"
9,Bohemian Rhapsody,"Biography, Drama, Music"
10,Black Panther,"Action, Adventure, Sci-Fi"
11,Vice,"Biography, Comedy, Drama"
12,The Meg,"Action, Horror, Sci-Fi"
13,Deadpool 2,"Action, Adventure, Comedy"
14,Crazy Rich Asians,"Comedy, Drama, Romance"
15,Mission: Impossible - Fallout,"Action, Adventure, Thriller"
16,Aquaman,"Action, Adventure, Fantasy"
17,Bird Box,"Horror, Sci-Fi"
18,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi"
19,Green Book,"Biography, Comedy, Drama"
20,Under the Silver Lake,"Crime, Drama, Mystery"
21,A Quiet Place,"Drama, Horror, Sci-Fi"
22,Red Sparrow,"Action, Drama, Thriller"
23,Beautiful Boy,"Biography, Drama"
24,The Favourite,"Biography, Comedy, Drama"
25,Hereditary,"Drama, Horror, Mystery"
26,Ant-Man and the Wasp,"Action, Adventure, Comedy"
27,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi"
28,Night Hunter,"Action, Thriller"
29,Mortal Engines,"Action, Adventure, Fantasy"
30,The Ballad of Buster Scruggs,"Comedy, Drama, Musical"
31,The Nutcracker and the Four Realms,"Adventure, Family, Fantasy"
32,Ocean's Eight,"Action, Comedy, Crime"
33,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance"
34,Bumblebee,"Action, Adventure, Sci-Fi"
35,Ghostland,"Drama, Horror, Mystery"
36,Fifty Shades Freed,"Drama, Romance, Thriller"
37,Capharnaüm,Drama
38,Annihilation,"Adventure, Drama, Horror"
39,Isle of Dogs,"Animation, Adventure, Comedy"
40,BlacKkKlansman,"Biography, Comedy, Crime"
41,A Futile and Stupid Gesture,"Biography, Comedy"
42,Robin Hood,"Action, Adventure, Drama"
43,Outlaw King,"Action, Biography, Drama"
44,Game Night,"Action, Comedy, Crime"
45,A Simple Favor,"Comedy, Crime, Mystery"
46,Suspiria,"Drama, Fantasy, Horror"
47,The Girl in the Spider's Web,"Action, Crime, Drama"
48,Tomb Raider,"Action, Adventure, Fantasy"
49,Rampage,"Action, Adventure, Sci-Fi"
